window_size,min_window,threshold,accuracy,precision_fall,recall_fall,f1_fall,total_windows
5,3,0.4,0.2962962962962963,0.38095238095238093,0.5714285714285714,0.45714285714285713,27
3,3,0.3,0.32558139534883723,0.3783783783783784,0.7,0.49122807017543857,43
3,3,0.4,0.27906976744186046,0.3333333333333333,0.55,0.41509433962264153,43
3,3,0.5,0.2558139534883721,0.3,0.45,0.36,43
5,3,0.3,0.37037037037037035,0.43478260869565216,0.7142857142857143,0.5405405405405406,27
5,3,0.4,0.2962962962962963,0.38095238095238093,0.5714285714285714,0.45714285714285713,27
5,3,0.5,0.25925925925925924,0.35,0.5,0.4117647058823529,27
10,3,0.3,0.4090909090909091,0.5,0.6923076923076923,0.5806451612903226,22
10,3,0.4,0.3181818181818182,0.4375,0.5384615384615384,0.4827586206896552,22
10,3,0.5,0.2727272727272727,0.4,0.46153846153846156,0.42857142857142855,22
